ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment, ໃຫ້ຄຳແນະນຳກ່ຽວກັບວິທີການປັບປຸງ ແລະ ວັດຖຸທີ່ຈຳເປັນ,Provide advice on how to do adjustments and materials needed
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment, ຢືນຢັນການປັບປຸງເຮືອນສຳເລັດໂດຍຄອບຄົວ ຫລື ຊ່າງທ້ອງຖິ່ນ,Confirm completion of house adjustments  by family or local handyman
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment,ສົ່ງເສີມການໃຊ້ການປັບປຸງການເຂົ້າເຖິງ,Encourage use of accessibility modification
ເພີ່ມຄວາມອິດສະຫຼະໃນກິດຈະກຳປະຈຳວັນ,Increase independence doing activities of daily living ,ການປັບປຸງການເຂົ້າເຖິງສະພາບແວດລ້ອມພາຍໃນເຮືອນ,Adjusting accessibility of home environment, ຕິດຕາມການໃຊ້ການປັບປຸງການເຂົ້າເຖິງ ກັບພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Monitor use of accessibility modification (with rehabilitation staff when needed)
ເພີ່ມຄວາມອິດສະຫຼະໃນການຫຼີ້ນ,Increase independence playing  , ໃຫ້ຄຳແນະນຳໃນການນຳໃຊ້ເຄື່ອງຫຼິ້ນ ທີ່ຊ່ວຍກະຕຸ້ນພັດທະນາການ,Providing advice on use of stimulation toys , ຮັບເອົາແນະນຳຈາກພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການກ່ຽວກັບການຫຼີ້ນເຄື່ອງທີ່ເໝາະສົມສຳລັບເດັກ,Obtain advice from rehabilitation staff on appropriate stimulation toys for child
ເພີ່ມຄວາມອິດສະຫຼະໃນການຫຼີ້ນ,Increase independence playing  , ໃຫ້ຄຳແນະນຳໃນການນຳໃຊ້ເຄື່ອງຫຼິ້ນ ທີ່ຊ່ວຍກະຕຸ້ນພັດທະນາການ,Providing advice on use of stimulation toys ,ສະແດງໃຫ້ຄອບຄົວເຫັນລາຍການເຄື່ອງຫລິ້ນກະຕຸ້ນປະ​ເພດ​ຕ່າງໆ,Show the family the illustrated list of stimulation toys
ເພີ່ມຄວາມອິດສະຫຼະໃນການຫຼີ້ນ,Increase independence playing  , ໃຫ້ຄຳແນະນຳໃນການນຳໃຊ້ເຄື່ອງຫຼິ້ນ ທີ່ຊ່ວຍກະຕຸ້ນພັດທະນາການ,Providing advice on use of stimulation toys ,ປຶກສາຫາລືກັບຄອບຄົວວ່າ ແມ່ນຫຍັງທີ່ຄອບຄົວ ຫລື ຊ່າງທ້ອງຖິ່ນສາມາດເຮັດໄດ້   ,Discuss with family what is feasible to be made by family or local handyman 
ເພີ່ມຄວາມອິດສະຫຼະໃນການຫຼີ້ນ,Increase independence playing  , ໃຫ້ຄຳແນະນຳໃນການນຳໃຊ້ເຄື່ອງຫຼິ້ນ ທີ່ຊ່ວຍກະຕຸ້ນພັດທະນາການ,Providing advice on use of stimulation toys , ການຜະລິດເຄື່ອງອຳນວຍຄວາມສະດວກ(ເຄື່ອງຫຼີ້ນ) ໂດຍຊ່າງທ່້ອງຖິ່ນ,Production of simple assistive product (toy) by identified local handyman.
ເພີ່ມຄວາມອິດສະຫຼະໃນການຫຼີ້ນ,Increase independence playing  , ໃຫ້ຄຳແນະນຳໃນການນຳໃຊ້ເຄື່ອງຫຼິ້ນ ທີ່ຊ່ວຍກະຕຸ້ນພັດທະນາການ,Providing advice on use of stimulation toys ,ຫລືຊື້ເຄື່ອງຫລິ້ນກະຕຸ້ນຈາກຮ້ານຂາຍເຄື່ອງ,OR Purchase the selected stimulation toys  in a shop
ເພີ່ມຄວາມອິດສະຫຼະໃນການຫຼີ້ນ,Increase independence playing  , ໃຫ້ຄຳແນະນຳໃນການນຳໃຊ້ເຄື່ອງຫຼິ້ນ ທີ່ຊ່ວຍກະຕຸ້ນພັດທະນາການ,Providing advice on use of stimulation toys ,ຝຶກສອນຄົນເຈັບ ແລະ ຜູ້ດູແລໃຫ້ຝຶກແອບການຫຼີ້ນຢູ່ທີ່ບ້ານ ແລະ ການໃຊ້ເຄື່ອງອຳນວຍຄວາມສະດວກນຳໃຊ້ພະນັກງານສາທາລະນະສຸກ,Coach person and caregiver to do home based play exercises and use assistive product with health staff
ເພີ່ມຄວາມອິດສະຫຼະໃນການຫຼີ້ນ,Increase independence playing  , ໃຫ້ຄຳແນະນຳໃນການນຳໃຊ້ເຄື່ອງຫຼິ້ນ ທີ່ຊ່ວຍກະຕຸ້ນພັດທະນາການ,Providing advice on use of stimulation toys ,ຕິດຕາມ ແລະ ກະຕຸ້ນເດັກນ້ອຍ ແລະ ຄອບຄົວໃຫ້ຫລິ້ນກັບຕຸກະຕາ ນຳພະນັກງານດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Encourage and monitor the child and the family to play with toys with health staff
ເພີ່ມຄວາມອິດສະຫຼະໃນການຫຼີ້ນ,Increase independence playing  , ເຂົ້າຮ່ວມຫລິ້ນເກມກັບເດັກນ້ອຍໃນໝູ່ບ້ານ,Participating in village children games , ປຶກສາກັບຄອບຄົວເພື່ອສະໜອງໂອກາດໃຫ້ແກ່ເດັກນ້ອຍໄດ້ຫລິ້ນກັບເດັກນ້ອຍຄົນອື່ນໃນໝູ່ບ້ານ,Discuss with the family to provide opportunity for the child to play with other children in the village
ເພີ່ມຄວາມອິດສະຫຼະໃນການຫຼີ້ນ,Increase independence playing  , ເຂົ້າຮ່ວມຫລິ້ນເກມກັບເດັກນ້ອຍໃນໝູ່ບ້ານ,Participating in village children games ,ຕິດຕາມ ແລະ ກະຕຸ້ນເດັກນ້ອຍ ແລະ ຄອບຄົວໃຫ້ເຂົ້າຮ່ວມຫລິ້ນເກມກັບເດັກນ້ອຍໃນໝູ່ບ້ານ,Encourage and monitor the child and the family to take part of village children games 
 ເພີ່ມຄວາມອິດສະຫຼະໃນການປະພຶດ,Increase independence behaving ,ການນຳສົ່ງໄປຫາຊ່ຽວຊານ,Referral to specialist services,ກວດກາເບິ່ງຄວາມພ້ອມດ້ານບໍລິການ ແລະ ກຳນົດການນັດໝາຍ,Check availability of service and schedule of appointments
 ເພີ່ມຄວາມອິດສະຫຼະໃນການປະພຶດ,Increase independence behaving ,ການນຳສົ່ງໄປຫາຊ່ຽວຊານ,Referral to specialist services, ຂໍຄວາມຍິນຍອມຈາກຄົນເຈັບ ແລະ ຄອບຄົວເພື່ອນຳສົ່ງຄົນເຈັບ,Get informed consent from person and the family for referral
 ເພີ່ມຄວາມອິດສະຫຼະໃນການປະພຶດ,Increase independence behaving ,ການນຳສົ່ງໄປຫາຊ່ຽວຊານ,Referral to specialist services,ຈັດກຽມການສົ່ງຕໍ່ໄປຍັງ ຜູ້ສະໜອງບໍລິການປິ່ນປົວ,Organize referral to service provider
 ເພີ່ມຄວາມອິດສະຫຼະໃນການປະພຶດ,Increase independence behaving ,ການນຳສົ່ງໄປຫາຊ່ຽວຊານ,Referral to specialist services,ໃຫ້ການສະໜັບສະຫນູນທາງດ້ານການເງິນ (ການຂົນສົ່ງ / ຄ່າໃຊ້ຈ່າຍອື່ນໆ) ຖ້າຈຳເປັນ,Provide financial support (transport and /or other costs) if needed
 ເພີ່ມຄວາມອິດສະຫຼະໃນການປະພຶດ,Increase independence behaving ,ການນຳສົ່ງໄປຫາຊ່ຽວຊານ,Referral to specialist services, ຢືນຢັນວ່າ ຄົນເຈັບໄດ້ເຂົ້າຮ່ວມການປະເມີນ ແລະ ການປິ່ນປົວທີ່ໄດ້ຮັບຈາກຜູ້ສະໜອງບໍລິການ,Confirm attendance at assesment and/or treatment received with service provider
 ເພີ່ມຄວາມອິດສະຫຼະໃນການປະພຶດ,Increase independence behaving ,ການນຳສົ່ງໄປຫາຊ່ຽວຊານ,Referral to specialist services,ສົ່ງເສີມໃຫ້ຄົນເຈັບ ແລະ ຄອບຄົວປະຕິບັດຕາມຄຳແນະນຳຂອງຜູ້ສະໜອງບໍລິການ,Encourage person and family to follow advice prescribed by service provider
 ເພີ່ມຄວາມອິດສະຫຼະໃນການປະພຶດ,Increase independence behaving ,Referral to specialist services,Referral to specialist services,ຕິດຕາມຜົນຂອງການປິ່ນປົວນຳຜູ້ສະໜອງບໍລິການ,Monitor outcome of treatment with service provider
